name	level	heat	longitude	latitude
故宫	5A	1	116.403347	39.922148
八达岭长城	5A	0.82	116.03293	40.369733
户部巷		0	114.30429	30.552322
秦始皇陵博物院（兵马俑）	5A	0.88	109.266029	34.386024
拙政园	5A	1	120.635191	31.330583
沈阳昭陵（北陵公园）	4A	0.82	123.434063	41.85812
颐和园	5A	0.82	116.276887	39.999497
西递村	5A	0.7	118.003549	29.91024
都江堰	5A	1	103.620123	31.006855
台儿庄古城	5A	0	117.747047	34.563186
横店影视城	5A	1	120.345446	29.162213
南京总统府	4A	0.8	118.803688	32.049877
武隆天坑地缝国家地质公园	5A	0	107.773314	29.423324
青城山	5A	0.96	103.578829	30.903727
宏村	5A	0.78	117.995474	30.010385
什刹海	4A	0.78	116.390595	39.949373
黄鹤楼	5A	1	114.309047	30.550272
峨眉山	5A	1	103.342036	29.522835
同里古镇	5A	0.8	120.725441	31.163773
黄山风景区	5A	1	118.193977	30.097967
乐山大佛	5A	0.82	103.779093	29.550402
布达拉宫	5A	1	91.125491	29.660076
慕田峪长城	5A	0.7	116.57035	40.437612
圆明园	4A	0.76	116.314607	40.01629
华清宫	5A	0.9	109.218903	34.369881
西安城墙	4A	0.82	108.953364	34.256023
虎丘	5A	0.8	120.587069	31.341637
天坛公园	5A	0.8	116.417313	39.887976
恭王府	5A	0.74	116.393097	39.942341
塔尔寺	5A	1	101.576298	36.494459
张家界国家森林公园	5A	0.94	110.459244	29.336908
槟榔谷黎苗文化区	5A	0.72	109.677278	18.466556
西安钟楼		0.7	108.95344	34.265657
泰山	5A	1	117.12107	36.247343
寒山寺	4A	0.88	120.574213	31.316189
蓬莱阁	5A	1	120.760473	37.832144
丽江古城	5A	1	100.240547	26.881159
乌镇	5A	1	120.494465	30.754749
成都杜甫草堂	4A	0.86	104.036061	30.666089
刘公岛	5A	1	122.147601	37.499885
周庄	5A	0.9	120.854425	31.120241
古北水镇		0	117.267356	40.650895
春秋淹城遗址公园	5A	0	119.931405	31.709256
司马台长城	4A	0.76	117.284641	40.660322
西塘古镇	5A	0.84	120.89521	30.945875
灵山大佛	5A	1	120.102895	31.436399
中山陵	5A	1	118.860335	32.063934
灵山小镇拈花湾		0	120.079209	31.419262
嘉峪关	5A	0.84	98.22983	39.813112
大明宫国家遗址公园	4A	0.72	108.968257	34.309657
西江千户苗寨	4A	1	108.18029	26.500009
避暑山庄	5A	1	117.940068	41.002781
胡里山炮台	4A	0.84	118.113008	24.435089
龙虎山风景区	5A	0.7	116.999461	28.090447
黄帝陵	5A	1	109.280487	35.587062
龙门石窟	5A	1	112.479566	34.564212
阆中古城	5A	1	105.977638	31.580898
大报恩寺遗址公园		0	118.787634	32.015811
平遥古城	5A	1	112.190081	37.21041
黄龙溪古镇	4A	0.7	103.977315	30.324457
雁门关	5A	0.72	112.894892	39.168842
无锡长泾老街		0	120.488005	31.756651
云水谣土楼群		0	117.101623	24.662736
天下第一关（山海关）		0.74	119.768109	40.012102
黄花城水长城	3A	0.7	116.31954	40.417497
山海关老龙头景区		0.76	119.805028	39.975207
西湖	5A	1	120.153384	30.236492
法门寺	5A	1	107.909964	34.430433
少林寺	5A	0.86	112.948713	34.512389
仰口游览区		0	120.672997	36.242339
乌镇老邮局		0	120.487982	30.756204
日光岩		0.86	118.073974	24.448579
大小洞天	5A	0.78	109.186963	18.307148
千年瑶寨		0	112.310135	24.587098
杭州飞来峰		0.72	120.107258	30.243005
南浔古镇	5A	0	120.435533	30.875529
恩施土司城	4A	0.88	109.478573	30.307085
山西王家大院	4A	0.82	111.881551	36.902417
八达岭古长城（残长城）	3A	0	115.994028	40.348353
夫子庙	5A	0.88	118.795398	32.026977
宁乡炭河古城		0.7	112.4300143	28.1885963
象山景区	5A	0.7	110.302339	25.274549
沙家浜	5A	0.72	120.807985	31.559447
崇圣寺三塔	5A	0.86	100.149535	25.710163
德云社相声大会广德楼店		0	116.398268	39.900822
芦笛岩	4A	0.76	110.279143	25.316464
五公祠	3A	0.78	110.367468	20.012936
明孝陵	5A	0.86	118.84258	32.056109
八大处公园	4A	0.72	116.190163	39.967956
西安半坡博物馆	4A	0.7	109.057557	34.279342
桂林两江四湖景区	5A	0.7	110.298547	25.257801
滕王阁	5A	1	115.888564	28.686101
云冈石窟	5A	1	113.139454	40.117323
青岩古镇	5A	0.82	106.695326	26.339051
武当山	5A	1	111.102943	32.511746
周庄一日游		0	120.854425	31.120241
千佛山	4A	0.86	117.041792	36.644733
朝天吼漂流	4A	0.7	110.932417	31.203526
大召寺	3A	0.9	111.660429	40.80594
黄姚古镇	4A	1	111.209664	24.254288
奥林匹克塔		0	116.399387	40.014739
大足石刻	5A	0.78	105.716678	29.718935
景洪曼听公园	4A	0.86	100.814267	21.998503
开封府	4A	0.96	114.353429	34.796032
敦煌阳关景区	4A	0.74	94.060458	39.941283
中国非物质文化遗产园	4A	0	117.124676	32.00893
西安鼓楼		1	108.949903	34.266395
敦煌莫高窟		0.9	94.77389	40.167452
东方盐湖城·道天下		0	119.347573	31.77078
武夷山	5A	1	117.992764	27.631146
明十三陵	5A	0.72	116.234094	40.300017
火焰山景区	4A	0.84	89.536075	42.951144
