name,highest_degree_offered,lon,lat,state,enrollment
Alabama A & M University,Doctor,-86.568502,34.783368,Alabama,5020
University of Alabama at Birmingham,Doctor,-86.80917,33.50223,Alabama,18568
Amridge University,Doctor,-86.17401,32.362609,Alabama,631
University of Alabama in Huntsville,Doctor,-86.63842,34.722818,Alabama,7376
Alabama State University,Doctor,-86.295677,32.364317,Alabama,6075
The University of Alabama,Doctor,-87.545766,33.2144,Alabama,34752
University of West Alabama,Master,-88.186077,32.59244,Alabama,4427
Athens State University,Bachelor,-86.96514,34.805625,Alabama,3170
Auburn University at Montgomery,Doctor,-86.177351,32.369939,Alabama,5084
Auburn University,Doctor,-85.492409,32.600201,Alabama,24864
Birmingham Southern College,Bachelor,-86.853636,33.515453,Alabama,1188
Concordia College Alabama,Bachelor,-87.023531,32.42443,Alabama,600
Faulkner University,Doctor,-86.21641,32.384181,Alabama,3193
Huntingdon College,Bachelor,-86.285313,32.350939,Alabama,1110
Jacksonville State University,Doctor,-85.766644,33.822128,Alabama,8693
Judson College,Bachelor,-87.316127,32.630526,Alabama,347
Miles College,Bachelor,-86.908605,33.481306,Alabama,1666
University of Mobile,Master,-88.128934,30.793247,Alabama,1610
University of Montevallo,Master,-86.865099,33.10625,Alabama,3062
University of North Alabama,Master,-87.680999,34.80658,Alabama,6931
Oakwood University,Master,-86.661628,34.756628,Alabama,1903
Samford University,Doctor,-86.790932,33.464578,Alabama,4833
University of South Alabama,Doctor,-88.18189,30.695081,Alabama,15065
Spring Hill College,Master,-88.138199,30.694751,Alabama,1422
Stillman College,Bachelor,-87.585242,33.199228,Alabama,863
Talladega College,Bachelor,-86.113675,33.434258,Alabama,932
Troy University,Doctor,-85.950191,31.800128,Alabama,20573
Tuskegee University,Doctor,-85.710315,32.431021,Alabama,3118
University of Alaska Anchorage,Doctor,-149.826135,61.189554,Alaska,17363
University of Alaska Fairbanks,Doctor,-147.824751,64.857053,Alaska,9166
University of Alaska Southeast,Master,-134.636346,58.38427,Alaska,2996
Alaska Pacific University,Doctor,-149.804242,61.191235,Alaska,669
American Indian College of the Assemblies of God Inc,Bachelor,-112.092247,33.577738,Arizona,79
Arizona State University-Tempe,Doctor,-111.940011,33.421922,Arizona,48702
University of Arizona,Doctor,-110.950769,32.232071,Arizona,40621
Embry-Riddle Aeronautical University-Prescott,Master,-112.452285,34.615678,Arizona,1921
Northern Arizona University,Doctor,-111.657653,35.180095,Arizona,26594
Ottawa University-Phoenix,Master,-112.113447,33.577907,Arizona,653
Prescott College,Doctor,-112.476509,34.5445,Arizona,943
Arizona Christian University,Bachelor,-112.026211,33.595117,Arizona,635
University of Arkansas at Little Rock,Doctor,-92.341835,34.726644,Arkansas,12377
Arkansas Baptist College,Bachelor,-92.290555,34.734751,Arkansas,1027
Lyon College,Bachelor,-91.628115,35.778934,Arkansas,592
University of Arkansas,Doctor,-94.178214,36.06153,Arkansas,25341
University of Arkansas at Pine Bluff,Doctor,-92.021263,34.242192,Arkansas,2615
Arkansas State University-Main Campus,Doctor,-90.680478,35.842779,Arkansas,13552
Arkansas Tech University,Master,-93.13233,35.295227,Arkansas,11369
University of Arkansas at Monticello,Master,-91.812971,33.589788,Arkansas,3893
University of Central Arkansas,Doctor,-92.45931,35.078196,Arkansas,11534
Central Baptist College,Bachelor,-92.444102,35.084574,Arkansas,827
Harding University,Doctor,-91.729008,35.249605,Arkansas,6238
Henderson State University,Master,-93.060313,34.127792,Arkansas,3583
Hendrix College,Master,-92.442021,35.09972,Arkansas,1444
John Brown University,Master,-94.559088,36.191077,Arkansas,2596
Ouachita Baptist University,Bachelor,-93.052442,34.125045,Arkansas,1543
University of the Ozarks,Bachelor,-93.467924,35.477785,Arkansas,585
Philander Smith College,Bachelor,-92.28242,34.73666,Arkansas,556
Williams Baptist College,Bachelor,-90.939876,36.126825,Arkansas,574
Southern Arkansas University Main Campus,Master,-93.235087,33.291195,Arkansas,3404
University of Arkansas-Fort Smith,Bachelor,-94.374073,35.385345,Arkansas,7170
Azusa Pacific University,Doctor,-117.88795,34.130865,California,10755
Biola University,Doctor,-118.017342,33.904823,California,6301
California Institute of Integral Studies,Doctor,-122.416537,37.774768,California,1271
California Baptist University,Master,-117.42587,33.928569,California,7144
California Institute of Technology,Doctor,-118.12574,34.139275,California,2181
California Lutheran University,Doctor,-118.879467,34.225551,California,4282
California Polytechnic State University-San Luis Obispo,Master,-120.65856,35.29889,California,19703
Alliant International University,Doctor,-117.094398,32.897056,California,4201
California State University-Bakersfield,Master,-119.104711,35.350005,California,8371
California State University-Stanislaus,Doctor,-120.852511,37.52577,California,8917
California State University-San Bernardino,Doctor,-117.322508,34.182987,California,18398
California State Polytechnic University-Pomona,Doctor,-117.819019,34.054273,California,22501
California State University-Chico,Master,-121.846333,39.728003,California,16356
California State University-Dominguez Hills,Master,-118.259316,33.86524,California,14670
California State University-Fresno,Doctor,-119.748258,36.814477,California,23060
California State University-Fullerton,Doctor,-117.885349,33.883627,California,38325
California State University-East Bay,Doctor,-122.058073,37.65707,California,14526
California State University-Long Beach,Doctor,-118.1123,33.782752,California,35586
California State University-Los Angeles,Doctor,-118.168965,34.066927,California,23258
California State University-Northridge,Doctor,-118.526817,34.23671,California,38310
California State University-Sacramento,Doctor,-121.42194,38.55745,California,28811
University of California-Berkeley,Doctor,-122.260401,37.871519,California,36198
University of California-Davis,Doctor,-121.751958,38.539895,California,33307
University of California-Irvine,Doctor,-117.841248,33.648434,California,28895
University of California-Los Angeles,Doctor,-118.443901,34.068892,California,40795
University of California-Riverside,Doctor,-117.331098,33.97588,California,21207
University of California-San Diego,Doctor,-117.237793,32.876598,California,29517
University of California-Santa Barbara,Doctor,-119.848031,34.415402,California,22225
University of California-Santa Cruz,Doctor,-122.067993,36.997258,California,17203
California Maritime Academy,Bachelor,-122.231551,38.069061,California,1045
Chapman University,Doctor,-117.851481,33.793678,California,7892
Concordia University-Irvine,Master,-117.81063,33.6535,California,4046
San Diego Christian College,Bachelor,-116.903073,32.799999,California,914
Claremont Graduate University,Doctor,-117.712394,34.103778,California,2204
Claremont McKenna College,Master,-117.706593,34.102323,California,1328
Coleman University,Master,-117.136493,32.821962,California,833
Dominican University of California,Master,-122.514654,37.980014,California,2147
Fielding Graduate University,Doctor,-119.717151,34.4294,California,1190
Fresno Pacific University,Master,-119.731953,36.725279,California,3393
Golden Gate University-San Francisco,Doctor,-122.398785,37.789208,California,3227
Harvey Mudd College,Bachelor,-117.710594,34.106137,California,807
Holy Names University,Master,-122.18717,37.802654,California,1343
Humboldt State University,Master,-124.0814,40.8741,California,8293
Humphreys College-Stockton and Modesto Campuses,Doctor,-121.316401,38.011051,California,990
John F Kennedy University,Doctor,-122.183972,37.881794,California,1356
American Jewish University,Master,-118.471764,34.128099,California,229
University of La Verne,Doctor,-117.772634,34.10086,California,8796
Lincoln University,Doctor,-122.269745,37.804788,California,492
La Sierra University,Doctor,-117.497071,33.908834,California,2440
The Master's College and Seminary,Doctor,-118.517422,34.38214,California,1499
Loyola Marymount University,Doctor,-118.415655,33.970633,California,9661
Menlo College,Bachelor,-122.181444,37.452906,California,745
Mills College,Doctor,-122.18789,37.782639,California,1595
Monterey Institute of International Studies,Master,-121.896813,36.599827,California,731
Mount St Mary's College,Doctor,-118.480471,34.082112,California,3274
National University,Doctor,-117.244243,32.909469,California,18207
Notre Dame de Namur University,Master,-122.284618,37.517501,California,2030
Occidental College,Master,-118.210783,34.126224,California,2128
Hope International University,Master,-117.88573,33.87616,California,1356
Pacific Union College,Master,-122.449639,38.57409,California,1647
University of the Pacific,Doctor,-121.307296,37.980624,California,6421
Pepperdine University,Doctor,-118.707677,34.041912,California,7315
Pitzer College,Bachelor,-117.705939,34.103408,California,1081
Point Loma Nazarene University,Master,-117.251204,32.713295,California,3359
Pomona College,Bachelor,-117.711944,34.098298,California,1610
University of Redlands,Doctor,-117.163847,34.063571,California,5147
San Diego State University,Doctor,-117.071228,32.77525,California,31899
University of San Diego,Doctor,-117.188721,32.77142,California,8321
San Francisco State University,Doctor,-122.477905,37.721345,California,29905
University of San Francisco,Doctor,-122.450977,37.775564,California,10112
San Jose State University,Master,-121.881214,37.335201,California,31278
Santa Clara University,Doctor,-121.938189,37.352706,California,8770
Scripps College,Bachelor,-117.711336,34.103655,California,1009
Simpson University,Master,-122.333048,40.61331,California,1255
Saint Mary's College of California,Doctor,-122.106795,37.83997,California,4257
Sonoma State University,Master,-122.673261,38.341023,California,9120
Vanguard University of Southern California,Master,-117.900911,33.662686,California,2415
University of Southern California,Doctor,-118.283858,34.021058,California,41368
Thomas Aquinas College,Bachelor,-119.087141,34.429009,California,366
Westmont College,Bachelor,-119.661932,34.449265,California,1321
Whittier College,Doctor,-118.028402,33.977625,California,2339
Woodbury University,Master,-118.340692,34.209226,California,1607
Adams State University,Master,-105.880943,37.477238,Colorado,3211
University of Colorado Denver,Doctor,-104.999181,39.74603,Colorado,22206
University of Colorado Colorado Springs,Doctor,-104.800296,38.892735,Colorado,11321
University of Colorado Boulder,Doctor,-105.267061,40.004415,Colorado,32017
Colorado Christian University,Master,-105.094836,39.711701,Colorado,5368
Colorado College,Master,-104.82422,38.84657,Colorado,2061
Colorado School of Mines,Doctor,-105.227148,39.75079,Colorado,5790
Colorado State University-Fort Collins,Doctor,-105.08083,40.574759,Colorado,31186
College America-Denver,Bachelor,-104.94118,39.691571,Colorado,497
University of Denver,Doctor,-104.964625,39.695954,Colorado,11778
Fort Lewis College,Master,-107.867003,37.275428,Colorado,4021
Colorado Mesa University,Doctor,-108.540281,39.076354,Colorado,9676
Metropolitan State University of Denver,Master,-105.002391,39.742248,Colorado,22752
Naropa University,Master,-105.267073,40.014816,Colorado,992
University of Northern Colorado,Doctor,-104.701721,40.403178,Colorado,12710
Regis University,Doctor,-105.031385,39.78976,Colorado,9722
Colorado State University-Pueblo,Master,-104.579846,38.309219,Colorado,7089
Western State Colorado University,Master,-106.91971,38.547421,Colorado,2404
Albertus Magnus College,Master,-72.923848,41.332519,Connecticut,1582
University of Bridgeport,Doctor,-73.189352,41.165587,Connecticut,4842
Central Connecticut State University,Doctor,-72.770094,41.690258,Connecticut,11865
Charter Oak State College,Bachelor,-72.767972,41.688246,Connecticut,1580
